ITMS_CD_NBR,STCK_KOR_NM,DMD_FRCS_START_DT,DMD_FRCS_END_DT,SBSC_START_DT,SBSC_CLSG_DT,PYM_DT,DRBC_DT,STCK_LSTN_DT,LWEN_SCDL_PBOF_AMT,TPPO_SCDL_PBOF_AMT,CNFM_PBOF_AMT,PBOF_STCK_CNT,SBSC_RVLR_RT,RPRS_SPIC_COM_NM,JOINT_SPIC_COM_NM,RBPE_COM_NM,FSS_RCIP_NBR,STCK_FACE_AMT,AISS_GNRL_STCK_CNT,AISS_PRTY_STCK_CNT,NMN_RRT_PROXY_INST_NM,DMD_FRCS_RVLR_RT,OBLG_DFPN_APLCT_RATE
204840,아이비케이에스제2호기업인수목적,,,20141111,20141112,20141114,20141114,20141120,"2,000",0,"2,000","4,000,000",0,IBK투자증권,,,,100,0,0,,0,0
056090,유앤아이,20151028,20151029,20151102,20151103,20151105,20151105,20151112,"25,000","30,000","30,000","1,500,000",0,키움,,,,500,"5,503,754","500,000",,0,0
221840,하이즈항공,20151104,20151105,20151112,20151113,20151117,20151117,20151125,"23,000",0,"18,000","4,375,000",0,KB증권,,,,500,"13,925,000",0,,0,0
213090,미래테크놀로지,20151112,20151113,20151119,20151120,20151124,20151124,20151201,"14,300","16,100","16,100","1,500,000",0,KB증권,,,,500,0,0,,0,0
047920,씨트리,,,20151210,20151211,20151215,20151215,20151221,"8,300","10,200","6,500","960,000",0,신한,,,,0,0,0,,0,0
226320,잇츠스킨,20151210,20151211,20151217,20151218,20151221,20151221,20151228,"208,500",0,"170,000","1,062,667",0,미래에셋,삼성,"한화,유진증권",,500,"8,054,000",0,,0,0
223310,이에스브이,20151210,20151211,20151215,20151216,20151218,20151218,20151224,"13,000",0,"10,000","1,580,000",0,NH투자,,,,500,"3,600,000",0,,0,0
092870,엑시콘,20151006,20151007,20151013,20151014,20151016,20151016,20151022,"13,500","16,500","10,000","2,000,000",0,IBK투자증권,,,,0,0,0,,0,0
194370,제이에스코퍼레이션,20160120,20160121,20160126,20160127,20160129,20160129,20160204,"19,000",0,"23,000","3,283,132",0,NH투자,,"대신,KTB투자증권",,100,"11,877,100","446,400",,0,0
189860,서전기전,,,20141215,20141216,20141218,20141218,20141224,"10,500",0,"6,500","1,213,000",0,DB금융투자,,,,500,"3,600,000",0,,0,0
160550,넥스트엔터테인먼트월드,20141209,20141210,20141215,20141216,20141217,20141217,20141223,"12,700","16,300","16,300","2,071,462",0,NH투자,,,,0,0,0,,0,0
102370,케이옥션,20220106,20220107,20220112,20220113,20220117,20220117,20220124,"17,000","20,000","20,000","1,600,000","1,408",신영,,,20220111000196,500,"7,581,420",0,하나은행,"1,638",37
377330,이지트로닉스,20220113,20220114,20220120,20220121,20220125,20220125,20220204,"19,000","22,000","22,000","1,980,000",887,NH투자,,,20220118000223,500,"5,940,000",0,국민은행,"1,344",3
123890,한국자산신탁,20160713,0,0,"10,300",0,0,대신,,,,500,0,0,,0,0
241690,유니테크노,20160831,20160901,20160905,20160906,20160908,20160908,20160920,"10,300","11,500","10,300","1,500,000",0,한국투자,,,,500,"4,463,760",0,,0,0
064290,인텍플러스,,,20101221,20101222,20101224,20101224,20110105,"6,000",0,"7,000","1,000,000",0,한국투자,,,,500,"7,005,000","2,053,333",,0,0
131290,티에스이,,,20101223,20101224,20101228,20101228,20110105,"45,000",0,"45,000","812,200",0,한국투자,,,,500,"2,857,899",0,,0,0
131370,케이비글로벌스타게임앤앱스기업인수목적,,,20101223,20101224,20101228,20101228,20110105,"2,500",0,"2,500","8,000,000",0,KB증권,,,,100,"620,001",0,,0,0
033560,블루콤,,,20110117,20110118,20110120,20110120,20110126,"9,000",0,"12,000","2,700,000",0,NH투자,,,,500,"8,211,126",0,,0,0
220260,엘아이지이에스기업인수목적,20150709,20150710,20150716,20150717,20150721,20150721,20150727,"2,000",0,"2,000","2,500,000",0,케이프투자,,,,100,"520,000",0,,0,0
189980,흥국에프엔비,20150722,20150723,20150729,20150730,20150803,20150803,20150807,"14,500","17,500","20,000","1,800,000",0,NH투자,,,,500,"5,166,250","350,000",,0,0
291230,삼성기업인수목적2호,20180827,20180828,20180903,20180904,20180906,20180906,20180913,"2,000",0,"2,000","6,500,000",0,삼성,,신한,,100,"1,050,000",0,,0,0
108490,로보티즈,20181010,20181011,20181017,20181018,20181022,20181022,20181026,"9,200",0,"14,000","1,700,000",0,미래에셋,,KTB투자증권,,500,"9,500,000",0,,0,0
329180,현대중공업,20210902,20210903,20210907,20210908,20210910,20210910,20210917,"52,000","60,000","60,000","18,000,000",405,"미래에셋,한국투자,CS증권","하나금융투자,KB증권","삼성,DB금융투자,신영,대신",20210906000346,"5,000","70,773,116",0,,0,0
260970,에스앤디,20210907,20210908,20210914,20210915,20210917,20210917,20210929,"30,000","32,000","28,000","1,023,000",3,유진증권,,,20210910000090,500,"3,036,420",0,국민은행,0,0
058970,엠로,20210729,20210730,20210804,20210805,20210809,20210809,20210813,"20,100","22,600","22,600","1,016,104",250,한국투자,,,20210803000202,500,"5,375,254",0,국민은행,0,0
290660,네오펙트,20181112,20181113,20181119,20181120,20181122,20181122,20181128,"10,000",0,"11,000","1,800,000",0,한국투자,,삼성,,500,"9,864,545",0,,0,0
381970,케이카,20210913,20210928,20210930,20211001,20211006,20211006,20211013,"34,300","43,200","25,000","13,464,231",9,"NH투자,골드만삭스",,"대신,삼성,하나금융투자",20210929000584,500,"46,884,369",0,한국예탁결제원,0,0
154030,아시아종묘,20180129,20180130,20180201,20180202,20180206,20180206,20180212,"4,200","5,200","4,500","10,000,009",0,대신,,KTB투자증권,,500,"8,185,539",0,,0,0
288620,에스퓨얼셀,20180918,20180919,20181001,20181002,20181005,20181005,20181015,"10,600",0,"16,500","1,890,000",0,한국투자,,유진증권,,500,"4,427,616",0,,0,0
298690,에어부산,20181213,20181214,20181218,20181219,20181221,20181221,20181227,"3,600",0,"3,600","5,207,000",0,"NH투자,미래에셋",BNK투자증권,,,"1,000","50,000,000",0,,0,0
053580,웹케시,20190109,20190110,20190116,20190117,20190121,20190121,20190125,"24,000",0,"26,000","970,000",0,하나금융투자,,BNK투자증권,,500,"5,631,222","133,333",,0,0
104620,노랑풍선,20190115,20190116,20190121,20190122,20190124,20190124,20190130,"15,500",0,"20,000","1,000,000",0,"한국투자,KB증권",,,,500,"4,000,000",0,,0,0
241790,오션브릿지,20161115,20161116,20161121,20161122,20161124,20161124,20161201,"5,400",0,"6,600","2,265,000",0,대신,,,,500,"6,289,770","502,260",,0,0
900290,그레이트리치과기유한공사,20161010,20161011,20161017,20161018,20161020,20161020,20161025,"4,000",0,"5,000","16,875,000",0,NH투자,,,,0,"50,000,000",0,,0,0
204990,현성바이탈,20161124,20161125,20161130,20161201,20161205,20161205,20161209,"7,000",0,"7,000","2,800,000",0,NH투자,,,,500,"20,000,000",0,,0,0
192080,더블유게임즈,20151019,20151020,20151026,20151027,20151029,20151029,20151104,"51,000",0,"65,000","4,272,450",0,"한국투자,미래에셋",키움,,,500,"12,817,318",0,,0,0
950180,에스앤케이,20190417,20190418,20190423,20190424,20190426,20190426,20190507,"30,800",0,"40,400","4,200,000",0,NH투자,미래에셋,,,0,"168,000",0,,0,0
241560,두산밥캣,20161103,20161104,20161108,20161109,20161111,20161111,20161118,"29,000",0,"30,000","30,028,180",0,"한국투자,제이피모간","신영,한화,CS증권,홍콩상하이",,,500,"100,082,500",0,,0,0
176440,에이치엔티일렉트로닉스,20161114,20161115,20161117,20161118,20161122,20161122,20161128,"14,000",0,"10,000","1,350,000",0,키움,,,,500,"5,310,600","229,000",,0,0
147760,마이크로프랜드,20161128,20161129,20161201,20161202,20161206,20161206,20161212,"7,300",0,"7,300","3,000,000",0,키움,,,,500,"8,641,366",0,,0,0
195440,퓨전데이타,20161206,20161207,20161212,20161213,20161215,20161215,20161221,"10,000",0,"11,500","1,000,000",0,한국투자,,,,500,"2,000,000","333,300",,0,0
371950,풍원정밀,20220210,20220211,20220217,20220218,20220222,20220222,20220228,"13,200","15,200","15,200","3,000,000","2,236",대신,,,20220215000835,500,"18,040,488",0,국민은행,"1,557",11
244920,에이플러스에셋어드바이저,20201105,20201106,20201110,20201111,20201113,20201113,20201120,"10,500",0,"7,500","2,238,469",0,"NH투자,IBK투자증권",,,,500,"21,461,539",0,,0,0
248070,솔루엠,20210114,20210115,20210121,20210122,20210126,20210126,20210202,"13,700","15,500","17,000","6,400,000","1,148","미래에셋,KB증권","하나금융투자,신한",삼성,20210120000138,500,"200,000,000",0,국민은행,0,0
365550,이에스알켄달스퀘어리츠,20201125,20201202,20201204,20201208,20201210,20201210,20201223,"5,000","5,000","6,330","71,459,000",0,한국투자,"NH투자,KB증권,삼성",,,"1,000","213,089,000",0,,0,0
227950,골든브릿지제4호기업인수목적,20151102,20151103,20151109,20151110,20151112,20151112,20151118,"2,000",0,"2,000","6,250,000",0,상상인,,,,100,0,0,,0,0
217730,강스템바이오텍,20151207,20151208,20151210,20151211,20151215,20151215,20151221,"8,000","10,000","6,000","2,000,000",0,키움,,,,0,0,0,,0,0
206560,덱스터,20151208,20151209,20151214,20151215,20151216,20151216,20151222,"11,000",0,"14,000","2,141,664",0,NH투자,,,,500,"7,424,610","1,077,120",,0,0
133750,메가엠디,,,20151210,20151211,20151215,20151215,20151218,"3,600","4,600","3,000","5,372,464",0,NH투자,,,,0,0,0,,0,0
127160,매직마이크로,20151105,20151106,20151110,20151111,20151113,20151113,20151119,"5,200","6,400","5,500","1,600,000",0,미래에셋,,,,0,0,0,,0,0
900150,성융광전투자유한공사,,,20100906,20100907,20100909,20100909,20100915,"2,700",0,"2,700","18,000,000",0,미래에셋,,,,1,"54,000,000",0,,0,0
058850,케이티씨에스,,,20100907,20100908,20100910,20100910,20100916,"2,600",0,"2,600","7,152,870",0,한국투자,,,,500,"40,532,130",0,,0,0
117670,알파칩스,,,20100907,20100908,20100910,20100910,20100917,"10,500",0,"12,000","600,000",0,KB증권,,,,500,"3,416,448",0,,0,0
081660,휠라코리아,,,20100914,20100915,20100917,20100917,20100928,"30,000",0,"35,000","3,250,000",0,삼성,,,,"5,000","7,567,073","557,631",,0,0
123840,키움제1호기업인수목적,,,20100914,20100915,20100917,20100917,20101005,"2,000",0,"2,000","10,000,000",0,키움,,,,100,"100,000,000",0,,0,0
068940,아이씨코리아,,,20101007,20101008,20101012,20101012,20101019,"2,400",0,"2,800","1,500,000",0,한화,,,,500,"9,437,077","438,518",,0,0
153490,우리이앤엘,,,20130124,20130125,20130129,20130129,20130205,"4,900",0,"4,900","9,000,000",0,KB증권,,,,500,"23,000,000","6,315,790",,0,0
950110,SBIAXES,,,20121128,20121129,20121203,20121203,20121217,"3,000",0,"3,600","5,341,400",0,하나금융투자,,,,0,"16,024,000",0,,0,0
099190,아이센스,,,20130121,20130122,20130124,20130124,20130130,"16,000",0,"19,000","900,000",0,NH투자,,,,500,"8,069,634",0,,0,0
192390,윈하이텍,,,20140716,20140717,20140721,20140721,20140725,"6,600",0,"8,300","2,640,000",0,NH투자,,,,500,"4,871,100",0,,0,0
177830,파버나인,,,20140723,20140724,20140728,20140728,20140804,"12,100",0,"12,500","1,100,000",0,한국투자,,,,500,"2,950,000","858,240",,0,0
215100,하나머스트4호기업인수목적주식회사,,,20150413,20150414,20150416,20150416,20150422,"2,000",0,"2,000","2,750,000",0,하나금융투자,,,,100,"50,000",0,,0,0
